,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,2.0343568379533998e-08,7.88904222122264e-09,5.987916816214486e-09,6.861591523214434e-09,2.1042456039329836e-09,2.367413551434094e-09,2.6264789894856625e-09,4.6303768264217304e-09,5.69324137496318e-09,1.4919298993352872e-09,9.415779321527314e-10,1.2692001235012225e-09
7,38.42812776856926,9.307595678239121e-09,4.832335722709084e-09,4.285376893195267e-09,6.085598058014935e-09,1.948525508358907e-09,1.9281255340909373e-09,1.9997941494429636e-09,3.6285603458831215e-09,5.0413849097324356e-09,9.666376945131784e-10,5.509541422735093e-10,9.677102498287865e-10
8,63.198533245043265,5.370133962370936e-09,2.3682064120970265e-09,2.0583082239061293e-09,2.7778326032193883e-09,1.113828243328563e-09,1.129389933272865e-09,1.1399504334515507e-09,2.310821361421359e-09,3.3837075034314485e-09,7.049130202616548e-10,4.4854366912313685e-10,9.818327520836617e-10
9,100.96538972782729,2.2791062970658366e-09,1.0898452034943859e-09,1.0405564921165342e-09,1.5588536277113007e-09,6.712079675283668e-10,6.212188020786364e-10,6.498614460062133e-10,1.3944330266758574e-09,3.4180997216829105e-09,8.707113696881618e-10,6.003312799141287e-10,1.268904671063581e-09
10,163.83631121352687,1.3769892363768219e-09,6.476156735278094e-10,5.543772490823345e-10,7.354554808127248e-10,4.4997195031921954e-10,4.652766811472891e-10,5.185316603566422e-10,1.0498122202909487e-09,3.505820656773297e-09,8.783569309988053e-10,6.069698530410011e-10,1.1996166094357909e-09
11,265.3251638901486,6.160551096596972e-10,4.15447532197667e-10,4.0749732572062824e-10,5.180527643458975e-10,3.191183666210573e-10,3.953334557400796e-10,4.389406053261522e-10,7.533256666712894e-10,2.869869081667691e-09,8.983282078134538e-10,7.689809463919352e-10,1.4215341248795822e-09
12,431.2885931322549,3.3924688651781084e-10,2.0648728163876813e-10,1.9278431394712762e-10,1.8084030303912222e-10,2.6445091413286263e-10,3.245543792281121e-10,3.585488620749741e-10,4.359562240606625e-10,2.7294128514088868e-09,9.269157486441998e-10,8.054388694508585e-10,1.0264616989289205e-09
13,699.3914735090503,1.9597512886614204e-10,1.1540853763687277e-10,9.84456968420198e-11,8.374190420359328e-11,1.5969045200119946e-10,1.7107704284048548e-10,2.025201839921699e-10,2.400658521595184e-10,2.4098398257697614e-09,9.497430563041403e-10,8.138825383799974e-10,7.624399910363296e-10
14,1132.2266555405515,6.086288586160704e-11,3.641144855411042e-11,3.2585367025199716e-11,2.766042749189511e-11,8.407977350047625e-11,9.70681845888076e-11,1.1438780522660879e-10,9.16439285742377e-11,9.431058172082864e-10,5.505629622342446e-10,5.337162082045766e-10,4.589205331897076e-10
15,1832.7733607376451,1.1893534529972525e-11,1.0167981092995221e-11,9.742293802457488e-12,1.1926319193213026e-11,5.836096171896482e-11,6.151189262208376e-11,6.555299552272165e-11,1.1772155487445682e-10,2.7055462685409555e-10,2.6669424789388964e-10,3.118259685361453e-10,5.172459194016662e-10
16,2966.360523302821,5.869755249911312e-12,3.521212765288908e-12,2.8512916463412705e-12,5.425742348056297e-10,7.909485150194569e-11,8.303905888915026e-11,9.024997517039475e-11,6.810535537128673e-05,2.7344000141958787e-10,2.4907667877319316e-10,3.3119982125942036e-10,1.918946786405856e-05
17,4801.532681142485,2.838971959404802e-11,2.3466202293640392e-11,2.4858528575166796e-11,2.701895067284225e-11,1.8234907121454444e-09,6.631207098222712e-09,9.37306344198302e-09,2.1261163014889385e-09,4.505228467886796e-08,2.332354256929619e-08,2.3392388881611112e-08,4.784808212489885e-08
18,7773.367053494751,1.524974915910335e-10,1.9619340409524565e-07,2.385447774491517e-07,1.5239867152883306e-10,7.285211149180655e-06,80.7723929951154,119.3610782080138,7.288398628106608e-06,2.3749904436524926e-06,34.28319247211774,50.3663728489576,2.3756673844346213e-06
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
