,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,-1.3973571368712524e-08,-4.460289756154092e-09,-1.8083420719106672e-09,-4.4519072306565454e-10,3.9657241600023973e-13,-3.493375700170196e-11,-9.776128853865173e-11,-7.391685500556675e-10,7.128315029607604e-09,1.3779456714935188e-09,8.111898892523362e-10,1.1185805659990617e-09
7,38.42812776856926,-8.030480543289426e-09,-2.6849712997243417e-09,-1.3823126493590483e-09,-1.2215102683794943e-09,-1.4037982904765089e-10,-2.191072452378102e-10,-2.5640654345919187e-10,-4.6321503948308725e-10,5.483746532073149e-09,1.182641628055668e-09,7.779240810215922e-10,1.4335919322523377e-09
8,63.198533245043265,-9.87050023935492e-09,-2.714544499407322e-09,-9.502107088400984e-10,-7.600892501218415e-10,-1.8583803308941158e-10,-2.3066888497226366e-10,-2.639428386207082e-10,-7.034800617174241e-10,5.422682985510015e-09,1.1314450598470518e-09,7.556882415768462e-10,1.3311423222336259e-09
9,100.96538972782729,-5.792350634290596e-09,-1.1487161865264566e-09,-4.380626270320232e-12,3.730833956638489e-10,-3.8444130734142663e-10,-3.0194726299186225e-10,-2.9726181461160627e-10,-6.440452210237064e-10,4.8436694114393254e-09,1.0926450305612902e-09,7.531647803227583e-10,1.3854690421372724e-09
10,163.83631121352687,-4.3787945653606966e-09,-1.136214952283925e-09,-3.0936045188001206e-10,-4.537517309054101e-11,-1.3017407812843105e-10,-2.3764698332966567e-10,-2.77348115779507e-10,-6.030795088092306e-10,5.083679827520953e-09,1.1299650507887106e-09,8.071800815402109e-10,1.4752084246447822e-09
11,265.3251638901486,-2.9006298934027322e-09,-8.767461634824512e-10,-3.366408780934213e-10,-1.466132961178604e-10,-2.1751512945260086e-10,-2.823475628596224e-10,-3.358320629440308e-10,-7.470224022445713e-10,5.092260878866019e-09,1.3278666782502384e-09,1.0354476482568584e-09,1.6314965123558234e-09
12,431.2885931322549,-1.538003994639711e-09,-4.3725322804051644e-10,-1.3517368288556726e-10,7.405000376821298e-12,-1.898432310579074e-10,-2.845009975858999e-10,-3.4319161151043466e-10,-5.446711575270184e-10,4.397542619032173e-09,1.2803301564014851e-09,1.0425424739316184e-09,1.1585410606226916e-09
13,699.3914735090503,-9.184229612067269e-10,-3.124473081696278e-10,-1.1679131165563706e-10,-1.52270415410849e-11,-2.0184447530015102e-10,-2.631846112678987e-10,-3.075391163994554e-10,-4.026463845998179e-10,3.4298771973596938e-09,1.1826499911092703e-09,9.687263067388883e-10,8.20136753613672e-10
14,1132.2266555405515,-4.337356619572921e-10,-1.599118137922627e-10,-4.266566847611834e-11,-5.221485410160768e-11,-1.3930468417283429e-10,-1.9795448290115585e-10,-2.422162345389827e-10,-2.0847430186169684e-10,1.675216008366726e-09,7.573554240722076e-10,6.615602031473204e-10,5.074134652839392e-10
15,1832.7733607376451,-1.2458583430548834e-10,-5.979519784988715e-11,-3.073712906860627e-12,-6.468124370153277e-11,-7.113598714991195e-11,-9.600150815992989e-11,-1.2601379814563463e-10,-4.455986338081327e-11,4.816571065268688e-10,3.552372394106038e-10,3.5252950319119856e-10,4.994395589349665e-10
16,2966.360523302821,7.461063919621373e-11,2.4445996560753488e-11,5.6306008135338925e-12,1.4491167869514983e-11,-2.5869910278198326e-10,-1.6561062894441218e-10,-1.2635444411839e-10,-9.554703254585572e-07,5.868484729153137e-10,3.233085329976543e-10,3.04727960629635e-10,6.0669836324778244e-06
17,4801.532681142485,5.476896887585527e-10,1.5064566162353124e-10,1.7775367600658685e-11,5.205185285618272e-10,-1.0567196393850178e-08,-1.6158443462927812e-08,-1.762318611171658e-08,-1.1594888817523505e-08,7.927589460615348e-08,6.765035176052116e-08,8.252990021739885e-08,8.316300780143689e-08
18,7773.367053494751,7.003188423964956e-10,-1.700494957331328e-08,-2.0806755876027554e-08,7.0085019600237e-10,-7.850032264596407e-07,-2.9561204674111714,-4.290990381290806,-7.859672133647619e-07,1.288860463102964e-05,30.489889144440536,44.84093620121951,1.2891759076901117e-05
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
