,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,-1.4532559768068713e-08,-4.679953174261832e-09,-1.9206674740144e-09,-6.064408948023746e-10,-1.565578915729877e-10,-6.073111273616424e-11,-3.512371036477529e-11,-4.4472897240457985e-10,7.553272954128581e-09,1.3968004068122773e-09,7.997841030861708e-10,1.146365876928112e-09
7,38.42812776856926,-8.245475781405421e-09,-2.745428897823124e-09,-1.3813586948244278e-09,-1.1572760626250163e-09,-1.0495639524541036e-10,-1.0649842419469985e-10,-1.4573025169538372e-10,-8.491403532847405e-10,5.9043933629998795e-09,1.2668005291789299e-09,8.445141593895452e-10,1.5878794710287205e-09
8,63.198533245043265,-1.0161252124995451e-08,-2.801412369068729e-09,-9.720229208148785e-10,-7.895588772704346e-10,1.5551807740659848e-10,-1.1970829613455977e-11,-4.6494496574965524e-11,-5.46262366531184e-10,5.8417700990801626e-09,1.1893661887245956e-09,7.945728355157039e-10,1.4158558642395292e-09
9,100.96538972782729,-6.009591095552521e-09,-1.2155569217118185e-09,-2.877217409186117e-11,3.15006264262058e-10,-1.1275137740552175e-10,-1.3135236835855368e-10,-1.5869290575031443e-10,-6.419649715342264e-10,5.224723529380071e-09,1.159576845711212e-09,7.985973514424258e-10,1.4547836039257693e-09
10,163.83631121352687,-4.5401723382330026e-09,-1.1870091626208585e-09,-3.270922786646533e-10,-7.234538989690402e-11,-1.2956084775147983e-10,-1.9104676514313095e-10,-2.1090728313766624e-10,-5.519904020740635e-10,5.486994062669075e-09,1.1897698474715602e-09,8.494924870092153e-10,1.5621681804264914e-09
11,265.3251638901486,-3.038267435321584e-09,-9.143188256262243e-10,-3.4913772366736446e-10,-1.7847765645965052e-10,-2.956951847786357e-10,-3.303376035336952e-10,-3.61984368121964e-10,-6.776684435157795e-10,5.5240236672856235e-09,1.4088174335840293e-09,1.0986011252150652e-09,1.7605454639256029e-09
12,431.2885931322549,-1.6020141642577627e-09,-4.494457112479976e-10,-1.3263058011515175e-10,8.781665165723914e-12,-2.2559451047671817e-10,-2.69704319193923e-10,-3.1671729979244905e-10,-5.615152686330363e-10,4.7704665785788045e-09,1.3549688375208877e-09,1.1020191649003034e-09,1.2349801000752573e-09
13,699.3914735090503,-9.56631710412059e-10,-3.201817677906294e-10,-1.1499619162359224e-10,-1.2305449991281992e-11,-2.344259658366611e-10,-3.31365700809613e-10,-3.8953810883019615e-10,-4.587818599110191e-10,3.7035169352050917e-09,1.2500194207121757e-09,1.0253705365676617e-09,8.726066529111341e-10
14,1132.2266555405515,-4.522086671420252e-10,-1.6413272836783608e-10,-4.110282314438321e-11,-5.1384278360533076e-11,-1.3023649731846e-10,-1.8784583762795015e-10,-2.279315168885009e-10,-2.0795872125186776e-10,1.8024731445630825e-09,8.003932899090212e-10,7.004571311788802e-10,5.348904536614932e-10
15,1832.7733607376451,-1.2967825057064644e-10,-6.133644973973117e-11,-1.8398608904399424e-12,-6.586636940765967e-11,-7.150647683442979e-11,-9.637896389924898e-11,-1.2804128171216137e-10,-4.466456255810833e-11,5.135642332341759e-10,3.7587297062321407e-10,3.7447075309422835e-10,5.267374022416029e-10
16,2966.360523302821,7.806355276961379e-11,2.5045039730865045e-11,5.0857773395515705e-12,2.1414652602758743e-10,-2.767160181280048e-10,-1.7094221769882903e-10,-1.2584065197055094e-10,9.054662429140761e-06,6.297529246467209e-10,3.4192408593194143e-10,3.234245073646764e-10,9.442778677721656e-06
17,4801.532681142485,5.783907126268446e-10,1.569279702083385e-10,1.626756098391829e-11,5.507974023659632e-10,-1.105405714899232e-08,-1.5183414391582045e-08,-1.6250234225245465e-08,-1.235725157861727e-08,8.699337725766137e-08,7.083243859483361e-08,8.592144402803453e-08,9.152756535450736e-08
18,7773.367053494751,7.479299161321178e-10,-5.561186048502801e-09,-6.738302269556959e-09,7.485362643305979e-10,-5.416668716428127e-07,10.413199214010906,15.265926623424363,-5.440019147873993e-07,1.2758269750498806e-05,31.76071915059198,46.617766721084536,1.2761434444788631e-05
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
