,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,1.4314231843818291e-08,5.251549535655127e-09,4.5542123004788785e-09,6.269891929518252e-09,1.8223818581190567e-09,1.9790081197360273e-09,2.0370901850489033e-09,3.2493959854985217e-09,2.557090333185774e-09,7.531623797451769e-10,4.901908633966858e-10,6.897776792998447e-10
7,38.42812776856926,6.627168097638595e-09,3.2298059919764548e-09,2.858177131243658e-09,4.3948652102173604e-09,1.4026439368433965e-09,1.5452805558680261e-09,1.647678811026591e-09,3.270591316035441e-09,2.088515472032871e-09,4.098405172354837e-10,3.092745659240615e-10,5.747785676954417e-10
8,63.198533245043265,3.6766830476241374e-09,1.9064384511197984e-09,1.8160978035022865e-09,2.402387344022947e-09,9.436220259325712e-10,9.587490832083013e-10,1.0553126016034842e-09,2.4222571526041484e-09,1.2328295357791341e-09,2.706934305969114e-10,1.728184331018371e-10,4.0868378871375344e-10
9,100.96538972782729,1.4955059041493537e-09,8.509135413164747e-10,8.706665788157522e-10,1.2571500378218605e-09,5.94863166244887e-10,6.765200396507711e-10,7.07787335180718e-10,1.3974077361502887e-09,1.23054307288833e-09,3.30152044364611e-10,2.240458386619954e-10,4.616992531627462e-10
10,163.83631121352687,8.946692706293152e-10,4.814866555478938e-10,4.685245303081782e-10,6.544126897311994e-10,3.8953525946071723e-10,4.3119019595631413e-10,4.471242369917918e-10,8.895936263212919e-10,1.2899932870493262e-09,3.479661866419622e-10,2.3362773634845876e-10,4.4143908588332114e-10
11,265.3251638901486,4.2742178952118296e-10,2.8303102338947616e-10,2.884240946084949e-10,3.863807747210629e-10,3.3121188651802646e-10,3.2075515516064754e-10,3.3931643498627807e-10,5.864130717814461e-10,1.0239604577933227e-09,3.3691766815799737e-10,2.764560574868291e-10,4.981031613608031e-10
12,431.2885931322549,2.1696529388112247e-10,1.6045188587832014e-10,1.5432685976236445e-10,1.3771211467901928e-10,2.1256560000905126e-10,2.352951946542553e-10,2.6415873353704593e-10,3.4734207301405593e-10,9.99221509716166e-10,3.550379392183679e-10,3.027477029026329e-10,3.7357756918383086e-10
13,699.3914735090503,1.2347017772948056e-10,7.74840177880126e-11,6.948035616344399e-11,5.862252773714679e-11,1.2368514020250917e-10,1.4690062748479542e-10,1.6942089862084905e-10,2.0076917443350431e-10,9.092829881984051e-10,3.7215802915233617e-10,3.153860460502215e-10,2.887166441988496e-10
14,1132.2266555405515,3.691926636007069e-11,2.490902808024091e-11,2.454033606824127e-11,1.9058132362073605e-11,6.951785010268863e-11,8.152358224659193e-11,9.605023765868251e-11,7.474779373725689e-11,3.572632176205073e-10,2.1486193551728991e-10,2.0681336443907774e-10,1.8172736003345452e-10
15,1832.7733607376451,7.578835493412667e-12,6.6777622786444694e-12,6.5928393639530175e-12,7.876741478788742e-12,4.3704338357029135e-11,4.612197914438564e-11,5.0977690113981804e-11,8.842431957875498e-11,1.0905524261313273e-10,1.0765164817800607e-10,1.2566598856006e-10,2.377753621358447e-10
16,2966.360523302821,3.800862548401651e-12,2.789102693743689e-12,2.5097362286294977e-12,3.867021143861543e-10,5.881899210218039e-11,5.5340945430025935e-11,5.6195911618770585e-11,6.31462740687219e-05,1.1260293950563541e-10,1.0409929562390338e-10,1.3493773675709242e-10,6.76647453331303e-06
17,4801.532681142485,1.7602890381133694e-11,1.9747347365379735e-11,2.2345912377196403e-11,1.7498089158469368e-11,1.6107001887076455e-09,7.14984387006847e-09,1.020856236259873e-08,1.7114131525521623e-09,1.737963203497427e-08,9.610967997844262e-09,9.999457443209287e-09,1.8856162015639367e-08
18,7773.367053494751,1.8173909389035867e-10,2.0904953868888896e-07,2.5429655548205004e-07,1.8177311802033997e-10,7.454895489083413e-06,82.05512649539502,121.18320294549292,7.458374273704004e-06,3.4487605356030794e-06,48.513948663232476,71.4841125117087,3.4507438553379964e-06
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
