,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,-4.268778625677329e-09,2.2810118004547437e-09,4.0651369047779335e-09,1.3791219990874303e-09,4.88988519591283e-10,3.2629903117290956e-10,2.2937429329903458e-10,-6.407812400425737e-11,-3.2405365342742524e-09,-1.2011866976973559e-09,8.6740317848756e-12,2.6945136095342315e-10
7,38.42812776856926,-5.341085272215425e-09,1.3155024971330075e-10,1.8127118848762294e-09,-3.51925360591276e-10,1.2146109201223485e-10,3.619822845184638e-11,5.5517445362915733e-11,4.958513518058715e-10,-2.173883982117884e-09,-9.001808043171244e-10,-5.637123546938431e-11,1.9248925636192226e-10
8,63.198533245043265,-4.896919013148601e-09,9.781842397711376e-10,2.6953098201037676e-09,5.671949558253953e-10,-1.2636459142562038e-11,7.705320190027864e-12,9.258740799713972e-12,2.3460329610595494e-11,-2.943173344273336e-09,-1.0473859959764742e-09,-4.8766036133802976e-12,7.005482296512306e-11
9,100.96538972782729,-3.5679424484713495e-09,4.556653325340173e-10,1.667796475226962e-09,-9.245305865570277e-11,1.727860996084304e-11,-4.316669658761865e-11,-8.514815538255504e-11,-3.4187585777667213e-10,-1.9003773792939483e-09,-6.551369718563248e-10,8.451752694692977e-11,1.0232156921350463e-10
10,163.83631121352687,-3.191761066622052e-09,1.3062826731243708e-10,1.180208353708459e-09,-2.640487350028284e-10,-6.806853413811111e-11,-7.697304708208023e-11,-8.61805326768949e-11,-1.344449094447982e-10,-8.801442937552012e-10,-3.9390077326011527e-10,1.4136656668980286e-10,3.3854896575919606e-10
11,265.3251638901486,-1.8172934249476352e-09,1.6286271508663336e-10,8.056004296347251e-10,8.262670224472025e-11,-1.2640681227053599e-10,-1.3930496463614715e-10,-1.5297110794034082e-10,-3.831741189856239e-10,7.900274733774157e-11,5.402809141292498e-12,4.5576335059861853e-10,3.35703446189289e-10
12,431.2885931322549,-8.673941189676493e-10,8.562960085295541e-11,3.9653668355785876e-10,7.912637564867299e-11,-2.7160407161135102e-11,-3.970340955064206e-11,-6.281591644184181e-11,-1.1533500497658723e-10,3.3296210122833845e-10,1.158036609219886e-10,4.59871103411729e-10,1.3308437193116083e-10
13,699.3914735090503,-4.13635503943511e-10,3.90729380899999e-11,1.8812627516848915e-10,5.991668879617777e-11,-1.2337975992283422e-10,-1.221042916385698e-10,-1.4191549522666507e-10,-1.773409843025028e-10,2.1291343125065324e-10,1.126483413156819e-10,3.675422425115631e-10,-1.0181113470635413e-11
14,1132.2266555405515,-1.6614535542751977e-10,1.8615478277368645e-11,8.430887919295535e-11,2.802896057700206e-11,-1.1717256565905142e-10,-1.357043170725018e-10,-1.534649519516201e-10,-9.447864203551493e-11,1.0324905771719929e-11,7.85685654234053e-11,2.4201815561611256e-10,-1.6108393856770068e-10
15,1832.7733607376451,-4.7110315880824646e-11,4.468128364931328e-12,3.189094024884588e-11,-1.3591958622861538e-11,-9.514413442215847e-11,-1.1221812211614373e-10,-1.287190837678001e-10,-6.606088779798194e-11,-1.3065070966853184e-10,-7.360816320061885e-11,-7.019841016888896e-12,-1.197711684231945e-09
16,2966.360523302821,3.6342601330476474e-11,-2.7897968969451553e-12,-2.3472625525634364e-11,2.9765692674009197e-10,-2.022114178068032e-10,-1.3447664536218592e-10,-1.0453446522077523e-10,-0.00021047826644816662,-7.735109086579505e-11,6.50875247238914e-11,3.177547227076411e-10,-0.00021687280893035706
17,4801.532681142485,5.448793554712934e-10,-5.599428604808368e-11,-2.1275410624952032e-10,5.835650634778313e-10,-1.8239809078070526e-08,-3.706079157780254e-08,-4.367547024450026e-08,-2.097441567243374e-08,1.7829046389418574e-07,8.29432459785198e-07,1.1320692725454694e-06,2.0764597894092825e-07
18,7773.367053494751,1.3935753183231702e-09,-2.0664694946351012e-07,-2.444349339307331e-07,1.3967211389973097e-09,-3.67532588930351e-06,84.90638102338126,128.51301294438016,-3.681014599423132e-06,0.000603648386156453,1248.792557179154,1816.011276876538,0.0006037416998477607
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
