,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,4.653290490012281e-09,-2.187469121289335e-09,-4.105141579369776e-09,-1.0372332712043699e-08,-3.4769696519015323e-10,6.574324553250253e-10,7.228518897649981e-10,-3.045847873972703e-09,1.301219443957081e-08,3.951962051819415e-09,2.440464164602012e-09,2.91984631199847e-09
7,38.42812776856926,-2.031026094369055e-09,1.1776132102384045e-10,7.924222610915606e-10,2.65731278487792e-09,-6.360008304544404e-10,-1.2970503094840766e-09,-1.3982663245744702e-09,-3.609626829538926e-09,1.2215773933948034e-08,2.9512103709443185e-09,2.186419276394728e-09,5.049394372630512e-09
8,63.198533245043265,-2.074399387495461e-08,-5.138768839835497e-09,-1.2786315539832519e-09,1.2074029809846777e-09,3.975684026603626e-10,-2.74152495666569e-10,-4.3202546819935394e-10,4.202696974037394e-11,1.4716406072759405e-08,2.6441871523401958e-09,1.4807049117486865e-09,2.313101536932289e-09
9,100.96538972782729,-9.404391341956467e-09,-2.3404211105692862e-09,-5.835160293487879e-10,-5.541866143464871e-12,-6.608960781200945e-10,-3.1464010766414833e-10,-1.4891314555578824e-10,4.271173256367618e-10,9.661266982505835e-09,2.4539139856824026e-09,1.682526599884678e-09,2.824012164818265e-09
10,163.83631121352687,-6.152435547100591e-09,-1.5328891744096178e-09,-2.958218632075985e-10,5.326701650581015e-10,-7.1205412304925e-10,-5.666604826860571e-10,-5.465118140220533e-10,-1.6786387969732083e-09,9.881866749964895e-09,2.4396079291744453e-09,1.7287728354225281e-09,3.1418274813133523e-09
11,265.3251638901486,-5.114820348518591e-09,-1.540989022768583e-09,-5.484645883149323e-10,6.573027924934075e-11,-4.5441324696371376e-10,-4.5402392902955427e-10,-5.268439411652597e-10,-1.0313614817794684e-09,1.0940683469383038e-08,2.9508797764762833e-09,2.1582089482528496e-09,3.2399291449647905e-09
12,431.2885931322549,-2.5780751222751727e-09,-7.13949317290355e-10,-1.959997800278155e-10,1.326876752609344e-10,-2.2462041404855368e-10,-2.8637943431552274e-10,-3.579228407135433e-10,-5.011363784375594e-10,8.923142645579739e-09,2.6390842320233e-09,2.002497322807821e-09,2.056937304487071e-09
13,699.3914735090503,-1.4574318639643524e-09,-5.557641193135291e-10,-2.585631324030439e-10,-7.509816645321454e-11,-3.9307667124706685e-10,-5.186680941995571e-10,-6.086544867341266e-10,-8.035777036547104e-10,6.860963534918524e-09,2.352491505508259e-09,1.8041482415348068e-09,1.5372037659374437e-09
14,1132.2266555405515,-7.432147734479464e-10,-3.015226204486609e-10,-1.0608418422276599e-10,-1.2844423835916407e-10,-2.1312249319074614e-10,-3.168202883268275e-10,-3.89364107714379e-10,-3.3676401794107813e-10,3.8483931309730075e-09,1.5958076498933694e-09,1.2079767623033732e-09,1.0237854914725763e-09
15,1832.7733607376451,-2.2755425635814928e-10,-1.2485933586666777e-10,-3.3108062945881155e-11,-1.3898143445561347e-10,-1.1070874197490814e-10,-1.5226206232247314e-10,-2.011601268860928e-10,-1.1902232186219962e-10,1.192408254353177e-09,7.592895768171606e-10,5.844272140983868e-10,1.1152686678679429e-09
16,2966.360523302821,1.2185789773085882e-10,4.648556031154621e-11,1.6688220612383982e-11,-6.48802047113547e-10,-4.2365313159087404e-10,-2.6967898711391596e-10,-2.0089847073548294e-10,-2.3635870897434467e-05,1.5522646233678196e-09,7.244416640357586e-10,4.4127460410892714e-10,2.549797060162853e-05
17,4801.532681142485,8.093472311019484e-10,2.47930802881304e-10,5.8158526276364065e-11,7.694271776174422e-10,-1.5813228991577135e-08,-2.700691499844968e-08,-3.0827101145569525e-08,-1.722891960056067e-08,1.5148757624442325e-07,8.177112806352948e-08,8.705112208153207e-08,1.5741612043159965e-07
18,7773.367053494751,1.0912371554656625e-09,-5.095733903931523e-08,-6.084580559629353e-08,1.0917689925649724e-09,-4.5849065047918375e-06,19.683261331279752,28.612858706599297,-4.583476406453963e-06,8.147389400185804e-06,15.928985258624216,23.49568158740306,8.14799168565886e-06
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
